method,query,k,ndcg,precision,recall,f1,overlap
Istari BM25,medical device manufacturers,10,0.0621,0.1,0.001,0.002,0
Istari BM25,medical device manufacturers,50,0.0671,0.08,0.004,0.0076,0
Istari BM25,medical device manufacturers,100,0.0788,0.09,0.009,0.0164,1
Istari BM25,medical device manufacturers,500,0.0681,0.068,0.034,0.0453,19
Istari BM25,medical device manufacturers,1000,0.0687,0.068,0.068,0.068,34
Istari BM25,telecommunications companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,telecommunications companies,50,0.0156,0.02,0.0017,0.0031,0
Istari BM25,telecommunications companies,100,0.0237,0.02,0.0033,0.0057,0
Istari BM25,telecommunications companies,500,0.0156,0.008,0.0066,0.0073,3
Istari BM25,telecommunications companies,1000,0.0159,0.008,0.0133,0.01,8
Istari BM25,internet service providers,10,0.0,0.0,0.0,0.0,0
Istari BM25,internet service providers,50,0.0,0.0,0.0,0.0,0
Istari BM25,internet service providers,100,0.0,0.0,0.0,0.0,0
Istari BM25,internet service providers,500,0.0,0.0,0.0,0.0,0
Istari BM25,internet service providers,1000,0.0,0.0,0.0,0.0,0
Istari BM25,manufacturing automation companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,manufacturing automation companies,50,0.0177,0.02,0.001,0.0019,0
Istari BM25,manufacturing automation companies,100,0.0252,0.03,0.003,0.0055,0
Istari BM25,manufacturing automation companies,500,0.0449,0.05,0.025,0.0333,18
Istari BM25,manufacturing automation companies,1000,0.0471,0.05,0.05,0.05,25
Istari BM25,robotics companies,10,0.186,0.1,0.0068,0.0127,0
Istari BM25,robotics companies,50,0.1561,0.04,0.0136,0.0203,1
Istari BM25,robotics companies,100,0.1868,0.03,0.0204,0.0243,3
Istari BM25,robotics companies,500,0.1427,0.022,0.0748,0.034,38
Istari BM25,robotics companies,1000,0.1417,0.022,0.1497,0.0384,69
Istari BM25,3D printing companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,3D printing companies,50,0.0,0.0,0.0,0.0,0
Istari BM25,3D printing companies,100,0.0,0.0,0.0,0.0,0
Istari BM25,3D printing companies,500,0.0108,0.012,0.006,0.008,4
Istari BM25,3D printing companies,1000,0.0113,0.012,0.012,0.012,6
Istari BM25,packaging companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,packaging companies,50,0.0144,0.02,0.001,0.0019,0
Istari BM25,packaging companies,100,0.0089,0.01,0.001,0.0018,0
Istari BM25,packaging companies,500,0.0217,0.024,0.012,0.016,4
Istari BM25,packaging companies,1000,0.0226,0.024,0.024,0.024,12
Istari BM25,food processing companies,10,0.1471,0.2,0.002,0.004,0
Istari BM25,food processing companies,50,0.1163,0.12,0.006,0.0114,1
Istari BM25,food processing companies,100,0.0949,0.09,0.009,0.0164,3
Istari BM25,food processing companies,500,0.0905,0.088,0.044,0.0587,29
Istari BM25,food processing companies,1000,0.0904,0.088,0.088,0.088,44
Istari BM25,beverage companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,beverage companies,50,0.059,0.02,0.0034,0.0058,0
Istari BM25,beverage companies,100,0.0729,0.02,0.0068,0.0101,1
Istari BM25,beverage companies,500,0.0579,0.024,0.0407,0.0302,20
Istari BM25,beverage companies,1000,0.0587,0.024,0.0814,0.0371,29
Istari BM25,mining companies,10,0.0658,0.0,0.0,0.0,0
Istari BM25,mining companies,50,0.0857,0.0,0.0,0.0,0
Istari BM25,mining companies,100,0.0895,0.02,0.0256,0.0225,2
Istari BM25,mining companies,500,0.0731,0.01,0.0641,0.0173,21
Istari BM25,mining companies,1000,0.0733,0.01,0.1282,0.0186,36
Istari BM25,oil and gas companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,oil and gas companies,50,0.1106,0.08,0.006,0.0111,1
Istari BM25,oil and gas companies,100,0.0686,0.04,0.006,0.0104,2
Istari BM25,oil and gas companies,500,0.0761,0.05,0.0374,0.0428,20
Istari BM25,oil and gas companies,1000,0.0766,0.05,0.0749,0.06,38
Istari BM25,energy storage companies,10,0.2228,0.1,0.0019,0.0036,0
Istari BM25,energy storage companies,50,0.2226,0.16,0.0149,0.0272,4
Istari BM25,energy storage companies,100,0.1907,0.15,0.0279,0.047,8
Istari BM25,energy storage companies,500,0.1065,0.058,0.0539,0.0559,29
Istari BM25,energy storage companies,1000,0.1026,0.058,0.1078,0.0754,47
Istari BM25,waste management companies,10,0.0911,0.1,0.001,0.002,0
Istari BM25,waste management companies,50,0.0324,0.02,0.001,0.0019,0
Istari BM25,waste management companies,100,0.0496,0.05,0.005,0.0091,0
Istari BM25,waste management companies,500,0.0376,0.036,0.018,0.024,9
Istari BM25,waste management companies,1000,0.0371,0.036,0.036,0.036,18
Istari BM25,water treatment companies,10,0.2099,0.2,0.002,0.004,0
Istari BM25,water treatment companies,50,0.1517,0.14,0.007,0.0133,3
Istari BM25,water treatment companies,100,0.1172,0.1,0.01,0.0182,4
Istari BM25,water treatment companies,500,0.0588,0.048,0.024,0.032,12
Istari BM25,water treatment companies,1000,0.0546,0.048,0.048,0.048,24
Istari BM25,aerospace companies,10,0.4135,0.0,0.0,0.0,0
Istari BM25,aerospace companies,50,0.3437,0.02,0.0043,0.0071,0
Istari BM25,aerospace companies,100,0.2668,0.02,0.0086,0.012,0
Istari BM25,aerospace companies,500,0.1825,0.034,0.073,0.0464,38
Istari BM25,aerospace companies,1000,0.1759,0.034,0.1459,0.0552,82
Istari BM25,defense contractors,10,0.0757,0.0,0.0,0.0,0
Istari BM25,defense contractors,50,0.0273,0.0,0.0,0.0,0
Istari BM25,defense contractors,100,0.0457,0.0,0.0,0.0,0
Istari BM25,defense contractors,500,0.0469,0.002,0.0312,0.0038,13
Istari BM25,defense contractors,1000,0.0478,0.002,0.0625,0.0039,24
Istari BM25,transportation companies,10,0.2118,0.1,0.0012,0.0024,0
Istari BM25,transportation companies,50,0.0753,0.02,0.0012,0.0023,0
Istari BM25,transportation companies,100,0.0612,0.03,0.0036,0.0065,0
Istari BM25,transportation companies,500,0.0237,0.01,0.0061,0.0075,4
Istari BM25,transportation companies,1000,0.0189,0.01,0.0121,0.011,6
Istari BM25,shipping companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,shipping companies,50,0.0311,0.04,0.002,0.0038,0
Istari BM25,shipping companies,100,0.0193,0.02,0.002,0.0036,0
Istari BM25,shipping companies,500,0.0408,0.044,0.022,0.0293,15
Istari BM25,shipping companies,1000,0.0422,0.044,0.044,0.044,22
Istari BM25,trucking companies,10,0.2132,0.1,0.001,0.002,0
Istari BM25,trucking companies,50,0.09,0.04,0.002,0.0038,0
Istari BM25,trucking companies,100,0.0557,0.02,0.002,0.0036,0
Istari BM25,trucking companies,500,0.0319,0.02,0.01,0.0133,4
Istari BM25,trucking companies,1000,0.0271,0.02,0.02,0.02,10
Istari BM25,freight forwarding companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,freight forwarding companies,50,0.0156,0.02,0.001,0.0019,0
Istari BM25,freight forwarding companies,100,0.0168,0.02,0.002,0.0036,0
Istari BM25,freight forwarding companies,500,0.0338,0.038,0.019,0.0253,7
Istari BM25,freight forwarding companies,1000,0.0354,0.038,0.038,0.038,19
Istari BM25,warehousing companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,warehousing companies,50,0.0292,0.02,0.0017,0.0031,0
Istari BM25,warehousing companies,100,0.0628,0.04,0.0068,0.0116,2
Istari BM25,warehousing companies,500,0.0542,0.038,0.0322,0.0349,16
