tier,query_id,n_companies,index_build_s,query_latency_ms,method
200k,11,200000,,56.74069421365857,gte
200k,12,200000,,56.819197023287416,gte
200k,15,200000,,56.91671813838184,gte
200k,34,200000,,56.95898807607591,gte
200k,14,200000,,56.964338989928365,gte
200k,27,200000,,56.799691170454025,gte
200k,66,200000,,56.73561594448984,gte
200k,72,200000,,57.94966919347644,gte
200k,99,200000,,57.60386888869107,gte
200k,101,200000,,56.972359074279666,gte
200k,56,200000,,56.775785982608795,gte
200k,82,200000,,56.90116109326482,gte
200k,91,200000,,56.813246104866266,gte
200k,92,200000,,56.723727844655514,gte
300k,1,300000,,85.21248493343592,gte
300k,2,300000,,85.72830795310438,gte
300k,3,300000,,84.69301601871848,gte
300k,4,300000,,85.39275103248656,gte
300k,5,300000,,85.0392091087997,gte
300k,11,300000,,85.3297479916364,gte
300k,12,300000,,85.08516801521182,gte
300k,15,300000,,85.46638814732432,gte
300k,34,300000,,85.61322116293013,gte
300k,14,300000,,85.16477211378515,gte
300k,27,300000,,84.82529292814434,gte
300k,66,300000,,85.23163781501353,gte
300k,72,300000,,84.87849100492895,gte
300k,99,300000,,85.14981786720455,gte
300k,101,300000,,84.8661141935736,gte
300k,56,300000,,85.212511010468,gte
300k,82,300000,,84.78081808425486,gte
300k,91,300000,,84.97444493696094,gte
300k,92,300000,,84.72969406284392,gte
400k,1,397025,,112.4549659434706,gte
400k,2,397025,,112.44825692847371,gte
400k,3,397025,,111.88929877243936,gte
400k,4,397025,,112.10715305060148,gte
400k,5,397025,,111.8598971515894,gte
400k,11,397025,,113.46266116015613,gte
400k,12,397025,,112.0217649731785,gte
400k,15,397025,,111.99823813512921,gte
400k,34,397025,,112.04302590340376,gte
400k,14,397025,,111.70884990133345,gte
400k,27,397025,,111.8931861128658,gte
400k,66,397025,,111.95341311395168,gte
400k,72,397025,,112.09159181453288,gte
400k,99,397025,,111.94328009150922,gte
400k,101,397025,,114.20859582722187,gte
400k,56,397025,,112.35162313096225,gte
400k,82,397025,,112.36141016706824,gte
400k,91,397025,,112.07121214829385,gte
400k,92,397025,,112.30395711027086,gte
100k,1,100000,,113.8565328437835,linq
100k,2,100000,,113.96670108661056,linq
100k,3,100000,,113.59306680969894,linq
100k,4,100000,,113.74610499478877,linq
100k,5,100000,,113.62241907045245,linq
100k,11,100000,,113.61033003777266,linq
100k,12,100000,,113.5990209877491,linq
100k,15,100000,,113.53483097627759,linq
100k,34,100000,,113.67152910679579,linq
100k,14,100000,,113.65823284722865,linq
100k,27,100000,,113.64143202081323,linq
100k,66,100000,,113.586698891595,linq
100k,72,100000,,113.63991699181497,linq
100k,99,100000,,115.67546194419265,linq
100k,101,100000,,113.64928493276238,linq
100k,56,100000,,113.80680580623448,linq
100k,82,100000,,113.61219501122832,linq
100k,91,100000,,113.84722287766635,linq
100k,92,100000,,113.59070613980293,linq
