method,query_id,query,k,precision,recall,ndcg
Ministral,69,IT consulting firms,100,0.06,0.06,0.05158926655543479
Ministral,69,IT consulting firms,1000,0.054,0.54,0.3168364588266275
Ministral,70,cybersecurity solutions providers,10,0.3,0.03,0.37850091886658266
Ministral,70,cybersecurity solutions providers,50,0.1,0.05,0.16609315150943127
Ministral,70,cybersecurity solutions providers,100,0.09,0.09,0.13307437820675153
Ministral,70,cybersecurity solutions providers,1000,0.059,0.59,0.4030813410340206
Ministral,71,cloud security providers,10,0.4,0.04,0.31017134364653787
Ministral,71,cloud security providers,50,0.32,0.16,0.3161459966248774
Ministral,71,cloud security providers,100,0.22,0.22,0.24225429004926224
Ministral,71,cloud security providers,1000,0.078,0.78,0.5439074765102656
Ministral,72,managed service providers (MSPs),10,0.1,0.01,0.06943122193677727
Ministral,72,managed service providers (MSPs),50,0.12,0.06,0.10697255235598177
Ministral,72,managed service providers (MSPs),100,0.17,0.17,0.15099764561679715
Ministral,72,managed service providers (MSPs),1000,0.073,0.73,0.47683583525281087
Ministral,73,remote monitoring and management (RMM) software,10,0.8,0.08,0.84860265890399
Ministral,73,remote monitoring and management (RMM) software,50,0.46,0.23,0.5388112950691412
Ministral,73,remote monitoring and management (RMM) software,100,0.37,0.37,0.4396557656250155
Ministral,73,remote monitoring and management (RMM) software,1000,0.078,0.78,0.6721339502288431
Ministral,74,data center providers,10,0.2,0.02,0.2051166673279436
Ministral,74,data center providers,50,0.2,0.1,0.20473048073000952
Ministral,74,data center providers,100,0.17,0.17,0.17898651151443498
Ministral,74,data center providers,1000,0.078,0.78,0.5272192878071313
Ministral,75,web hosting companies,10,0.1,0.01,0.22009176629808017
Ministral,75,web hosting companies,50,0.02,0.01,0.07753300701100829
Ministral,75,web hosting companies,100,0.01,0.01,0.047758523260819974
Ministral,75,web hosting companies,1000,0.036,0.36,0.21993249154715275
Ministral,76,domain name registrars,10,0.2,0.02,0.12987501165334076
Ministral,76,domain name registrars,50,0.2,0.1,0.17993344827910832
Ministral,76,domain name registrars,100,0.21,0.21,0.19435365780372893
Ministral,76,domain name registrars,1000,0.1,1.0,0.6238312745147457
Ministral,77,content management systems (CMS),10,0.5,0.05,0.4066392799050653
Ministral,77,content management systems (CMS),50,0.36,0.18,0.35281881501769796
Ministral,77,content management systems (CMS),100,0.29,0.29,0.30195788426678305
Ministral,77,content management systems (CMS),1000,0.097,0.97,0.6834655976124762
Ministral,78,e-learning platforms,10,0.3,0.03,0.22119341301481266
Ministral,78,e-learning platforms,50,0.34,0.17,0.3219695175447806
Ministral,78,e-learning platforms,100,0.21,0.21,0.23113132279317838
Ministral,78,e-learning platforms,1000,0.1,1.0,0.6794414941178558
Ministral,79,online marketing agencies,10,0.2,0.02,0.17993148201117176
Ministral,79,online marketing agencies,50,0.24,0.12,0.22767384395192825
Ministral,79,online marketing agencies,100,0.15,0.15,0.16357516945903652
Ministral,79,online marketing agencies,1000,0.068,0.68,0.4579707285087045
Ministral,80,lead generation companies,10,0.2,0.02,0.19518900079066107
Ministral,80,lead generation companies,50,0.24,0.12,0.22985520377350807
Ministral,80,lead generation companies,100,0.17,0.17,0.1794444789496486
Ministral,80,lead generation companies,1000,0.096,0.96,0.6127452786939314
Ministral,81,market research firms,10,0.1,0.01,0.09478836436955078
Ministral,81,market research firms,50,0.18,0.09,0.16984965554779816
Ministral,81,market research firms,100,0.16,0.16,0.15781637144749483
Ministral,81,market research firms,1000,0.091,0.91,0.569216896286209
Ministral,82,public relations agencies,10,0.1,0.01,0.07839826897867533
Ministral,82,public relations agencies,50,0.14,0.07,0.12467446344218767
Ministral,82,public relations agencies,100,0.17,0.17,0.15327213488616007
Ministral,82,public relations agencies,1000,0.088,0.88,0.55983715610194
Ministral,83,graphic design studios,10,0.5,0.05,0.42331179510529354
Ministral,83,graphic design studios,50,0.26,0.13,0.27070629499572957
