method,query,k,ndcg,precision,recall,f1,overlap
API Native,cybersecurity solutions providers,30,0.9945,1.0,0.03,0.0583,19
API Native,cybersecurity solutions providers,44,0.9944,1.0,0.044,0.0843,25
API Native,cloud security providers,10,0.9883,1.0,0.061,0.1149,5
API Native,cloud security providers,30,0.9903,0.9667,0.1768,0.299,15
API Native,cloud security providers,44,0.9889,0.8182,0.2195,0.3462,20
API Native,managed service providers (MSPs),10,0.9974,1.0,0.0385,0.0741,5
API Native,managed service providers (MSPs),30,0.9979,1.0,0.1154,0.2069,24
API Native,managed service providers (MSPs),44,0.9975,1.0,0.1692,0.2895,38
API Native,remote monitoring and management (RMM) software,10,0.9998,1.0,0.1639,0.2817,9
API Native,remote monitoring and management (RMM) software,30,0.9973,0.9333,0.459,0.6154,26
API Native,remote monitoring and management (RMM) software,44,0.9969,0.9091,0.6557,0.7619,35
API Native,data center providers,10,0.992,1.0,0.0248,0.0484,4
API Native,data center providers,30,0.992,0.9667,0.072,0.1339,16
API Native,data center providers,44,0.9919,0.9318,0.1017,0.1834,28
API Native,web hosting companies,10,0.2895,0.3,0.003,0.0059,0
API Native,web hosting companies,30,0.1439,0.1,0.003,0.0058,0
API Native,web hosting companies,44,0.1116,0.0682,0.003,0.0057,0
API Native,domain name registrars,10,0.9832,0.7,0.0824,0.1474,6
API Native,domain name registrars,30,0.9862,0.7667,0.2706,0.4,18
API Native,domain name registrars,44,0.9667,0.6136,0.3176,0.4186,25
API Native,content management systems (CMS),10,0.9896,1.0,0.01,0.0198,6
API Native,content management systems (CMS),30,0.9907,1.0,0.03,0.0583,16
API Native,content management systems (CMS),44,0.9903,1.0,0.044,0.0843,22
API Native,e-learning platforms,10,0.993,1.0,0.01,0.0198,3
API Native,e-learning platforms,30,0.9935,1.0,0.03,0.0583,16
API Native,e-learning platforms,44,0.9938,1.0,0.044,0.0843,22
API Native,online marketing agencies,10,0.9948,1.0,0.01,0.0198,4
API Native,online marketing agencies,30,0.9913,1.0,0.03,0.0583,15
API Native,online marketing agencies,44,0.9915,1.0,0.044,0.0843,22
API Native,lead generation companies,10,0.9956,1.0,0.0169,0.0333,6
API Native,lead generation companies,30,0.9964,1.0,0.0508,0.0968,20
API Native,lead generation companies,44,0.9956,1.0,0.0746,0.1388,30
API Native,market research firms,10,0.9904,1.0,0.01,0.0198,5
API Native,market research firms,30,0.9911,1.0,0.03,0.0583,16
API Native,market research firms,44,0.99,1.0,0.044,0.0843,21
API Native,public relations agencies,10,0.9864,1.0,0.01,0.0198,4
API Native,public relations agencies,30,0.9928,1.0,0.03,0.0583,22
API Native,public relations agencies,44,0.9929,1.0,0.044,0.0843,30
API Native,graphic design studios,10,0.9886,1.0,0.01,0.0198,1
API Native,graphic design studios,30,0.989,1.0,0.03,0.0583,7
API Native,graphic design studios,44,0.9899,1.0,0.044,0.0843,12
API Native,video production companies,10,0.9908,1.0,0.01,0.0198,4
API Native,video production companies,30,0.9919,1.0,0.03,0.0583,12
API Native,video production companies,44,0.9915,1.0,0.044,0.0843,17
API Native,translation services,10,0.9942,1.0,0.01,0.0198,4
API Native,translation services,30,0.991,1.0,0.03,0.0583,8
API Native,translation services,44,0.9901,1.0,0.044,0.0843,14
API Native,legal technology companies,10,0.9989,1.0,0.01,0.0198,9
API Native,legal technology companies,30,0.9947,1.0,0.03,0.0583,16
