config,query_id,k,precision,recall,f1,ndcg
Exact (FlatL2),54,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),54,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),54,500,1.0,0.5,0.6666666666666666,1.0
Exact (FlatL2),54,1000,0.983,0.983,0.983,0.986028623616178
Exact (FlatL2),55,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),55,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),55,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),55,500,0.988,0.494,0.6586666666666667,0.9895765609930703
Exact (FlatL2),55,1000,0.91,0.91,0.91,0.9240730638652024
Exact (FlatL2),56,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),56,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),56,100,0.94,0.094,0.1709090909090909,0.954126745132391
Exact (FlatL2),56,500,0.862,0.431,0.5746666666666667,0.8788801783167406
Exact (FlatL2),56,1000,0.66,0.66,0.66,0.6998419251806218
Exact (FlatL2),57,10,0.7,0.007,0.013861386138613862,0.6163668470816234
Exact (FlatL2),57,50,0.46,0.023,0.04380952380952381,0.478546423026918
Exact (FlatL2),57,100,0.53,0.053,0.09636363636363636,0.5249023133932482
Exact (FlatL2),57,500,0.47,0.235,0.31333333333333335,0.47659276761893565
Exact (FlatL2),57,1000,0.409,0.409,0.409,0.4225963048604406
Exact (FlatL2),58,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),58,50,0.86,0.043,0.0819047619047619,0.8797835842939287
Exact (FlatL2),58,100,0.78,0.078,0.14181818181818184,0.810594689774731
Exact (FlatL2),58,500,0.532,0.266,0.35466666666666674,0.5766248443408203
Exact (FlatL2),58,1000,0.434,0.434,0.434,0.4741128424925959
Exact (FlatL2),59,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),59,50,0.96,0.048,0.09142857142857141,0.9691863532379539
Exact (FlatL2),59,100,0.95,0.095,0.17272727272727273,0.9583024375557818
Exact (FlatL2),59,500,0.966,0.483,0.644,0.9668777900054536
Exact (FlatL2),59,1000,0.852,0.852,0.852,0.8707580944731809
Exact (FlatL2),60,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),60,50,0.98,0.049,0.09333333333333334,0.9833041757017094
Exact (FlatL2),60,100,0.96,0.096,0.17454545454545453,0.9666586730264586
Exact (FlatL2),60,500,0.948,0.474,0.632,0.9525982159371896
Exact (FlatL2),60,1000,0.808,0.808,0.808,0.8329111438137663
Exact (FlatL2),61,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),61,50,0.96,0.048,0.09142857142857141,0.9703156472960971
Exact (FlatL2),61,100,0.95,0.095,0.17272727272727273,0.9587822122750002
Exact (FlatL2),61,500,0.616,0.308,0.41066666666666674,0.6680376753701869
Exact (FlatL2),61,1000,0.399,0.399,0.399,0.4608072059497751
Exact (FlatL2),62,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),62,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),62,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),62,500,0.992,0.496,0.6613333333333333,0.9933912346166753
Exact (FlatL2),62,1000,0.88,0.88,0.88,0.8991182209442741
Exact (FlatL2),63,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),63,50,0.92,0.046,0.08761904761904762,0.9402495218291472
Exact (FlatL2),63,100,0.92,0.092,0.1672727272727273,0.9332968241317597
Exact (FlatL2),63,500,0.706,0.353,0.4706666666666666,0.740488843452772
Exact (FlatL2),63,1000,0.566,0.566,0.566,0.606933307693337
Exact (FlatL2),64,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),64,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),64,100,0.99,0.099,0.18,0.9924455763267155
Exact (FlatL2),64,500,0.926,0.463,0.6173333333333334,0.9369819836293526
Exact (FlatL2),64,1000,0.767,0.767,0.767,0.7986559073320578
Exact (FlatL2),65,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),65,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),65,100,0.98,0.098,0.17818181818181816,0.9854049535637786
Exact (FlatL2),65,500,0.822,0.411,0.548,0.8493248803185381
Exact (FlatL2),65,1000,0.681,0.681,0.681,0.7189670020498554
Exact (FlatL2),66,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),66,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),66,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),66,500,0.996,0.498,0.664,0.9967537470141297
Exact (FlatL2),66,1000,0.864,0.864,0.864,0.8860490311515622
Exact (FlatL2),67,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),67,50,0.88,0.044,0.0838095238095238,0.909431956453365
Exact (FlatL2),67,100,0.92,0.092,0.1672727272727273,0.9279328643371485
Exact (FlatL2),67,500,0.764,0.382,0.5093333333333334,0.7886163146065147
Exact (FlatL2),67,1000,0.65,0.65,0.65,0.6817670851424434
Exact (FlatL2),68,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),68,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),68,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),68,500,0.974,0.487,0.6493333333333333,0.9778163449105559
Exact (FlatL2),68,1000,0.766,0.766,0.766,0.8003489800211243
