tier,M,ef_construction,ef_search,query_id,k,query_latency_ms,index_build_s,precision,recall,ndcg
100k,16,40,10,56,300,0.16605400014668703,16.684499502182007,0.03,0.17647058823529413,0.1081658675849505
100k,16,40,10,56,500,0.16605400014668703,16.684499502182007,0.018,0.17647058823529413,0.1081658675849505
100k,16,40,10,56,1000,0.16605400014668703,16.684499502182007,0.009,0.17647058823529413,0.1081658675849505
100k,16,40,10,82,10,0.19150800653733313,16.684499502182007,0.2,0.03225806451612903,0.1681522864689108
100k,16,40,10,82,50,0.19150800653733313,16.684499502182007,0.06,0.04838709677419355,0.0733538067306729
100k,16,40,10,82,100,0.19150800653733313,16.684499502182007,0.05,0.08064516129032258,0.08398303123913463
100k,16,40,10,82,300,0.19150800653733313,16.684499502182007,0.05,0.24193548387096775,0.17449488844187339
100k,16,40,10,82,500,0.19150800653733313,16.684499502182007,0.03,0.24193548387096775,0.17449488844187339
100k,16,40,10,82,1000,0.19150800653733313,16.684499502182007,0.015,0.24193548387096775,0.17449488844187339
100k,16,40,10,91,10,0.16789400251582265,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,91,50,0.16789400251582265,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,91,100,0.16789400251582265,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,91,300,0.16789400251582265,16.684499502182007,0.01,0.046875,0.0273392874880076
100k,16,40,10,91,500,0.16789400251582265,16.684499502182007,0.006,0.046875,0.0273392874880076
100k,16,40,10,91,1000,0.16789400251582265,16.684499502182007,0.003,0.046875,0.0273392874880076
100k,16,40,10,92,10,0.17986999591812491,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,92,50,0.17986999591812491,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,92,100,0.17986999591812491,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,92,300,0.17986999591812491,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,92,500,0.17986999591812491,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,92,1000,0.17986999591812491,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,1,10,0.45655298163183033,16.684499502182007,1.0,0.136986301369863,1.0
100k,16,40,50,1,50,0.45655298163183033,16.684499502182007,0.34,0.2328767123287671,0.47838055435989374
100k,16,40,50,1,100,0.45655298163183033,16.684499502182007,0.21,0.2876712328767123,0.4069097924325454
100k,16,40,50,1,300,0.45655298163183033,16.684499502182007,0.09333333333333334,0.3835616438356164,0.4650187138211829
100k,16,40,50,1,500,0.45655298163183033,16.684499502182007,0.058,0.3972602739726027,0.47170230676047753
100k,16,40,50,1,1000,0.45655298163183033,16.684499502182007,0.029,0.3972602739726027,0.47170230676047753
100k,16,40,50,2,10,0.2986350154969841,16.684499502182007,0.5,0.07692307692307693,0.5884674004369673
100k,16,40,50,2,50,0.2986350154969841,16.684499502182007,0.36,0.27692307692307694,0.43082099342477265
100k,16,40,50,2,100,0.2986350154969841,16.684499502182007,0.23,0.35384615384615387,0.4112195653623231
100k,16,40,50,2,300,0.2986350154969841,16.684499502182007,0.11333333333333333,0.5230769230769231,0.5107263149092802
100k,16,40,50,2,500,0.2986350154969841,16.684499502182007,0.074,0.5692307692307692,0.5338445273994507
100k,16,40,50,2,1000,0.2986350154969841,16.684499502182007,0.037,0.5692307692307692,0.5338445273994507
100k,16,40,50,3,10,0.3383999865036458,16.684499502182007,0.2,0.2857142857142857,0.16945984979943973
100k,16,40,50,3,50,0.3383999865036458,16.684499502182007,0.12,0.8571428571428571,0.43794963478494925
100k,16,40,50,3,100,0.3383999865036458,16.684499502182007,0.06,0.8571428571428571,0.43794963478494925
100k,16,40,50,3,300,0.3383999865036458,16.684499502182007,0.02,0.8571428571428571,0.43794963478494925
100k,16,40,50,3,500,0.3383999865036458,16.684499502182007,0.012,0.8571428571428571,0.43794963478494925
100k,16,40,50,3,1000,0.3383999865036458,16.684499502182007,0.006,0.8571428571428571,0.43794963478494925
100k,16,40,50,4,10,0.3027339989785105,16.684499502182007,0.9,0.10975609756097561,0.9052116356304493
100k,16,40,50,4,50,0.3027339989785105,16.684499502182007,0.54,0.32926829268292684,0.631497397054878
100k,16,40,50,4,100,0.3027339989785105,16.684499502182007,0.34,0.4146341463414634,0.5079050303408664
100k,16,40,50,4,300,0.3027339989785105,16.684499502182007,0.20333333333333334,0.7439024390243902,0.7070755768130425
100k,16,40,50,4,500,0.3027339989785105,16.684499502182007,0.132,0.8048780487804879,0.7396823904898022
100k,16,40,50,4,1000,0.3027339989785105,16.684499502182007,0.066,0.8048780487804879,0.7396823904898022
100k,16,40,50,5,10,0.3119109896942973,16.684499502182007,1.0,0.11764705882352941,1.0
100k,16,40,50,5,50,0.3119109896942973,16.684499502182007,0.52,0.3058823529411765,0.6361366153059026
100k,16,40,50,5,100,0.3119109896942973,16.684499502182007,0.37,0.43529411764705883,0.5333090050605048
100k,16,40,50,5,300,0.3119109896942973,16.684499502182007,0.17,0.6,0.6373920056726765
100k,16,40,50,5,500,0.3119109896942973,16.684499502182007,0.106,0.6235294117647059,0.6499915968588345
100k,16,40,50,5,1000,0.3119109896942973,16.684499502182007,0.053,0.6235294117647059,0.6499915968588345
