tier,M,ef_construction,ef_search,k,recall,ndcg,query_latency_ms
300k,32,200,10,100,0.1388958165548738,0.13635598574812127,1.0990266822964738
300k,32,200,10,300,0.22763990194348818,0.18107070597094269,1.0990266822964738
300k,32,200,10,500,0.2360912749643255,0.18495147633286346,1.0990266822964738
300k,32,200,10,1000,0.2360912749643255,0.18495147633286346,1.0990266822964738
300k,32,200,50,10,0.04448418659953486,0.22185298658228927,0.5928042059837791
300k,32,200,50,50,0.12390627170073956,0.1587728946117918,0.5928042059837791
300k,32,200,50,100,0.16372796883731322,0.15208093345976445,0.5928042059837791
300k,32,200,50,300,0.3029000893909403,0.2222431572978214,0.5928042059837791
300k,32,200,50,500,0.40137460500032923,0.26512111006607836,0.5928042059837791
300k,32,200,50,1000,0.4896190724789312,0.3016598666480976,0.5928042059837791
300k,32,200,100,10,0.04448418659953486,0.22185298658228927,0.8914891559949243
300k,32,200,100,50,0.12751117436836754,0.16316204484739258,0.8914891559949243
300k,32,200,100,100,0.16922067027550095,0.15664413256372758,0.8914891559949243
300k,32,200,100,300,0.30676636858951517,0.22647118195406293,0.8914891559949243
300k,32,200,100,500,0.418785089076891,0.2757000237418906,0.8914891559949243
300k,32,200,100,1000,0.6026061667451,0.3491272609736697,0.8914891559949243
300k,32,200,200,10,0.04448418659953486,0.22185298658228927,1.3356583689241426
300k,32,200,200,50,0.12751117436836754,0.1633208050816501,1.3356583689241426
300k,32,200,200,100,0.16709531496298757,0.15558191121149226,1.3356583689241426
300k,32,200,200,300,0.3049985160295588,0.22623456065070782,1.3356583689241426
300k,32,200,200,500,0.42654676342774434,0.28037513688157156,1.3356583689241426
300k,32,200,200,1000,0.6601573739647797,0.3720838339891537,1.3356583689241426
300k,32,200,500,10,0.04448418659953486,0.22185298658228927,2.361852893189184
300k,32,200,500,50,0.12751117436836754,0.1633208050816501,2.361852893189184
300k,32,200,500,100,0.16709531496298757,0.15558191121149226,2.361852893189184
300k,32,200,500,300,0.30614268078928425,0.22673252322027096,2.361852893189184
300k,32,200,500,500,0.41983855877814275,0.27767984002352636,2.361852893189184
300k,32,200,500,1000,0.6664245387696138,0.37490528546006163,2.361852893189184
300k,32,200,1000,10,0.04448418659953486,0.22185298658228927,3.921190581566311
300k,32,200,1000,50,0.12751117436836754,0.1633208050816501,3.921190581566311
300k,32,200,1000,100,0.16709531496298757,0.15558191121149226,3.921190581566311
300k,32,200,1000,300,0.30614268078928425,0.22673252322027096,3.921190581566311
300k,32,200,1000,500,0.42045775382458234,0.2780126167672478,3.921190581566311
300k,32,200,1000,1000,0.6677213258249148,0.37495625082383155,3.921190581566311
400k,16,40,10,10,0.033320534765093175,0.19165157978526212,0.20938037318716707
400k,16,40,10,50,0.08669094803405726,0.12212809443348409,0.20938037318716707
400k,16,40,10,100,0.12072462346708648,0.11817227079669965,0.20938037318716707
400k,16,40,10,300,0.16251011095666748,0.1405517705137629,0.20938037318716707
400k,16,40,10,500,0.16251011095666748,0.1405517705137629,0.20938037318716707
400k,16,40,10,1000,0.16251011095666748,0.1405517705137629,0.20938037318716707
400k,16,40,50,10,0.04533308303416984,0.2248195149579524,0.3780845252453889
400k,16,40,50,50,0.12156241260329961,0.15474006363617887,0.3780845252453889
400k,16,40,50,100,0.16583074469639766,0.15017890480712145,0.3780845252453889
400k,16,40,50,300,0.28130064657444925,0.2092776939985087,0.3780845252453889
