method,query,k,ndcg,precision,recall,overlap
Our MiniLM,manufacturing automation companies,10,0.9008,0.9,0.009,0
Our MiniLM,manufacturing automation companies,50,0.9222,0.94,0.047,2
Our MiniLM,manufacturing automation companies,100,0.9317,0.95,0.095,12
Our MiniLM,manufacturing automation companies,500,0.8992,0.898,0.449,255
Our MiniLM,manufacturing automation companies,1000,0.8016,0.78,0.78,780
Our MiniLM,robotics companies,10,0.9639,1.0,0.01,2
Our MiniLM,robotics companies,50,0.9703,1.0,0.05,12
Our MiniLM,robotics companies,100,0.9741,1.0,0.1,23
Our MiniLM,robotics companies,500,0.9572,0.962,0.481,275
Our MiniLM,robotics companies,1000,0.8919,0.877,0.877,877
Our MiniLM,3D printing companies,10,0.9562,1.0,0.01,0
Our MiniLM,3D printing companies,50,0.954,0.98,0.049,5
Our MiniLM,3D printing companies,100,0.9649,0.99,0.099,17
Our MiniLM,3D printing companies,500,0.9859,0.998,0.499,264
Our MiniLM,3D printing companies,1000,0.9746,0.974,0.974,974
Our MiniLM,packaging companies,10,0.9739,1.0,0.01,0
Our MiniLM,packaging companies,50,0.9782,1.0,0.05,1
Our MiniLM,packaging companies,100,0.9817,1.0,0.1,10
Our MiniLM,packaging companies,500,0.9903,0.998,0.499,252
Our MiniLM,packaging companies,1000,0.9661,0.962,0.962,962
Our MiniLM,food processing companies,10,0.9733,1.0,0.01,1
Our MiniLM,food processing companies,50,0.9677,1.0,0.05,5
Our MiniLM,food processing companies,100,0.9499,0.97,0.097,18
Our MiniLM,food processing companies,500,0.9543,0.962,0.481,283
Our MiniLM,food processing companies,1000,0.864,0.845,0.845,845
Our MiniLM,beverage companies,10,0.9559,1.0,0.01,1
Our MiniLM,beverage companies,50,0.967,1.0,0.05,9
Our MiniLM,beverage companies,100,0.9723,1.0,0.1,21
Our MiniLM,beverage companies,500,0.9879,1.0,0.5,294
Our MiniLM,beverage companies,1000,0.9649,0.961,0.961,961
Our MiniLM,mining companies,10,0.978,1.0,0.01,0
Our MiniLM,mining companies,50,0.9723,1.0,0.05,12
Our MiniLM,mining companies,100,0.9751,1.0,0.1,21
Our MiniLM,mining companies,500,0.9849,0.994,0.497,302
Our MiniLM,mining companies,1000,0.9036,0.887,0.887,887
Our MiniLM,oil and gas companies,10,0.9651,1.0,0.01,2
Our MiniLM,oil and gas companies,50,0.9685,1.0,0.05,6
Our MiniLM,oil and gas companies,100,0.9725,1.0,0.1,15
Our MiniLM,oil and gas companies,500,0.9805,0.99,0.495,298
Our MiniLM,oil and gas companies,1000,0.8911,0.873,0.873,873
Our MiniLM,energy storage companies,10,0.9584,1.0,0.01,1
Our MiniLM,energy storage companies,50,0.9664,1.0,0.05,8
Our MiniLM,energy storage companies,100,0.9707,1.0,0.1,22
Our MiniLM,energy storage companies,500,0.9289,0.928,0.464,290
Our MiniLM,energy storage companies,1000,0.8076,0.78,0.78,780
Our MiniLM,waste management companies,10,0.9664,1.0,0.01,1
Our MiniLM,waste management companies,50,0.9752,1.0,0.05,2
Our MiniLM,waste management companies,100,0.9808,1.0,0.1,16
Our MiniLM,waste management companies,500,0.9902,0.998,0.499,242
Our MiniLM,waste management companies,1000,0.9795,0.978,0.978,978
Our MiniLM,water treatment companies,10,0.9815,1.0,0.01,1
Our MiniLM,water treatment companies,50,0.9815,1.0,0.05,5
Our MiniLM,water treatment companies,100,0.9847,1.0,0.1,16
Our MiniLM,water treatment companies,500,0.9932,1.0,0.5,263
Our MiniLM,water treatment companies,1000,0.9844,0.983,0.983,983
Our MiniLM,aerospace companies,10,0.9537,1.0,0.01,1
Our MiniLM,aerospace companies,50,0.9667,1.0,0.05,10
Our MiniLM,aerospace companies,100,0.9716,1.0,0.1,25
Our MiniLM,aerospace companies,500,0.9768,0.988,0.494,280
Our MiniLM,aerospace companies,1000,0.9215,0.91,0.91,910
Our MiniLM,defense contractors,10,0.9168,1.0,0.01,0
Our MiniLM,defense contractors,50,0.939,1.0,0.05,8
Our MiniLM,defense contractors,100,0.9083,0.94,0.094,25
Our MiniLM,defense contractors,500,0.8627,0.862,0.431,249
Our MiniLM,defense contractors,1000,0.6975,0.66,0.66,660
Our MiniLM,transportation companies,10,0.5939,0.7,0.007,0
Our MiniLM,transportation companies,50,0.4654,0.46,0.023,2
Our MiniLM,transportation companies,100,0.513,0.53,0.053,11
Our MiniLM,transportation companies,500,0.4735,0.472,0.236,112
Our MiniLM,transportation companies,1000,0.4218,0.409,0.409,409
Our MiniLM,shipping companies,10,0.9645,1.0,0.01,0
Our MiniLM,shipping companies,50,0.8566,0.86,0.043,2
Our MiniLM,shipping companies,100,0.7932,0.78,0.078,10
Our MiniLM,shipping companies,500,0.5721,0.532,0.266,150
Our MiniLM,shipping companies,1000,0.4734,0.434,0.434,434
Our MiniLM,trucking companies,10,0.964,1.0,0.01,0
Our MiniLM,trucking companies,50,0.9452,0.96,0.048,10
Our MiniLM,trucking companies,100,0.9375,0.95,0.095,20
Our MiniLM,trucking companies,500,0.9573,0.966,0.483,263
Our MiniLM,trucking companies,1000,0.8688,0.852,0.852,852
Our MiniLM,freight forwarding companies,10,0.972,1.0,0.01,0
Our MiniLM,freight forwarding companies,50,0.9626,0.98,0.049,2
Our MiniLM,freight forwarding companies,100,0.9497,0.96,0.096,5
Our MiniLM,freight forwarding companies,500,0.9459,0.948,0.474,260
Our MiniLM,freight forwarding companies,1000,0.8313,0.808,0.808,808
Our MiniLM,warehousing companies,10,0.9583,1.0,0.01,3
Our MiniLM,warehousing companies,50,0.9371,0.96,0.048,6
Our MiniLM,warehousing companies,100,0.9307,0.95,0.095,16
Our MiniLM,warehousing companies,500,0.6612,0.616,0.308,191
Our MiniLM,warehousing companies,1000,0.461,0.399,0.399,399
Our MiniLM,cold storage companies,10,0.9594,1.0,0.01,0
Our MiniLM,cold storage companies,50,0.9649,1.0,0.05,4
Our MiniLM,cold storage companies,100,0.9687,1.0,0.1,14
Our MiniLM,cold storage companies,500,0.9794,0.992,0.496,283
Our MiniLM,cold storage companies,1000,0.8967,0.88,0.88,880
Our MiniLM,retail technology companies,10,0.9473,1.0,0.01,0
Our MiniLM,retail technology companies,50,0.9,0.92,0.046,3
Our MiniLM,retail technology companies,100,0.8998,0.92,0.092,18
Our MiniLM,retail technology companies,500,0.73,0.706,0.353,199
Our MiniLM,retail technology companies,1000,0.606,0.566,0.566,566
Our MiniLM,point of sale systems providers,10,0.9692,1.0,0.01,1
Our MiniLM,point of sale systems providers,50,0.9724,1.0,0.05,5
Our MiniLM,point of sale systems providers,100,0.9688,0.99,0.099,25
Our MiniLM,point of sale systems providers,500,0.9278,0.926,0.463,296
Our MiniLM,point of sale systems providers,1000,0.7979,0.767,0.767,767
Our MiniLM,inventory management software,10,0.9583,1.0,0.01,0
Our MiniLM,inventory management software,50,0.9683,1.0,0.05,14
Our MiniLM,inventory management software,100,0.9599,0.98,0.098,39
Our MiniLM,inventory management software,500,0.8416,0.822,0.411,291
Our MiniLM,inventory management software,1000,0.7201,0.681,0.681,681
Our MiniLM,customer relationship management (CRM) software,10,0.9502,1.0,0.01,1
Our MiniLM,customer relationship management (CRM) software,50,0.9618,1.0,0.05,10
Our MiniLM,customer relationship management (CRM) software,100,0.9688,1.0,0.1,32
Our MiniLM,customer relationship management (CRM) software,500,0.9844,0.996,0.498,330
Our MiniLM,customer relationship management (CRM) software,1000,0.8845,0.864,0.864,864
Our MiniLM,enterprise resource planning (ERP) systems,10,0.9546,1.0,0.01,0
Our MiniLM,enterprise resource planning (ERP) systems,50,0.8765,0.88,0.044,4
Our MiniLM,enterprise resource planning (ERP) systems,100,0.9014,0.92,0.092,18
Our MiniLM,enterprise resource planning (ERP) systems,500,0.7799,0.764,0.382,220
Our MiniLM,enterprise resource planning (ERP) systems,1000,0.6802,0.65,0.65,650
Our MiniLM,business intelligence (BI) companies,10,0.9683,1.0,0.01,1
Our MiniLM,business intelligence (BI) companies,50,0.9684,1.0,0.05,8
Our MiniLM,business intelligence (BI) companies,100,0.9759,1.0,0.1,29
Our MiniLM,business intelligence (BI) companies,500,0.9674,0.974,0.487,304
Our MiniLM,business intelligence (BI) companies,1000,0.7997,0.766,0.766,766
Our MiniLM,IT consulting firms,10,0.9684,1.0,0.01,0
Our MiniLM,IT consulting firms,50,0.9624,0.98,0.049,1
Our MiniLM,IT consulting firms,100,0.9487,0.96,0.096,4
Our MiniLM,IT consulting firms,500,0.8835,0.876,0.438,227
Our MiniLM,IT consulting firms,1000,0.7594,0.729,0.729,729
Our MiniLM,cybersecurity solutions providers,10,0.5438,0.5,0.005,0
Our MiniLM,cybersecurity solutions providers,50,0.6388,0.66,0.033,3
Our MiniLM,cybersecurity solutions providers,100,0.6428,0.66,0.066,14
Our MiniLM,cybersecurity solutions providers,500,0.538,0.53,0.265,148
Our MiniLM,cybersecurity solutions providers,1000,0.4786,0.461,0.461,461
Our MiniLM,cloud security providers,10,0.9628,1.0,0.01,1
Our MiniLM,cloud security providers,50,0.8891,0.88,0.044,13
Our MiniLM,cloud security providers,100,0.831,0.81,0.081,27
Our MiniLM,cloud security providers,500,0.5081,0.442,0.221,184
Our MiniLM,cloud security providers,1000,0.3468,0.283,0.283,283
Our MiniLM,managed service providers (MSPs),10,0.9324,1.0,0.01,1
Our MiniLM,managed service providers (MSPs),50,0.9417,1.0,0.05,7
Our MiniLM,managed service providers (MSPs),100,0.9534,1.0,0.1,23
Our MiniLM,managed service providers (MSPs),500,0.9598,0.972,0.486,297
Our MiniLM,managed service providers (MSPs),1000,0.8078,0.776,0.776,776
Our MiniLM,remote monitoring and management (RMM) software,10,0.9506,1.0,0.01,4
Our MiniLM,remote monitoring and management (RMM) software,50,0.9644,1.0,0.05,18
Our MiniLM,remote monitoring and management (RMM) software,100,0.935,0.95,0.095,43
Our MiniLM,remote monitoring and management (RMM) software,500,0.7745,0.746,0.373,240
Our MiniLM,remote monitoring and management (RMM) software,1000,0.5974,0.544,0.544,544
Our MiniLM,data center providers,10,0.9584,1.0,0.01,3
Our MiniLM,data center providers,50,0.9488,0.98,0.049,4
Our MiniLM,data center providers,100,0.936,0.96,0.096,17
Our MiniLM,data center providers,500,0.9198,0.922,0.461,285
Our MiniLM,data center providers,1000,0.7722,0.739,0.739,739
Our MiniLM,web hosting companies,10,0.9911,1.0,0.01,2
Our MiniLM,web hosting companies,50,0.9893,1.0,0.05,2
Our MiniLM,web hosting companies,100,0.9823,0.99,0.099,5
Our MiniLM,web hosting companies,500,0.9926,0.998,0.499,165
Our MiniLM,web hosting companies,1000,0.8501,0.823,0.823,823
Our MiniLM,domain name registrars,10,0.9429,1.0,0.01,0
Our MiniLM,domain name registrars,50,0.955,1.0,0.05,0
Our MiniLM,domain name registrars,100,0.962,1.0,0.1,10
Our MiniLM,domain name registrars,500,0.9838,1.0,0.5,277
Our MiniLM,domain name registrars,1000,0.9825,0.984,0.984,984
Our MiniLM,content management systems (CMS),10,0.9476,1.0,0.01,0
Our MiniLM,content management systems (CMS),50,0.9525,1.0,0.05,1
Our MiniLM,content management systems (CMS),100,0.9583,1.0,0.1,4
Our MiniLM,content management systems (CMS),500,0.981,1.0,0.5,263
Our MiniLM,content management systems (CMS),1000,0.9678,0.966,0.966,966
Our MiniLM,e-learning platforms,10,0.9659,1.0,0.01,0
Our MiniLM,e-learning platforms,50,0.9747,1.0,0.05,7
Our MiniLM,e-learning platforms,100,0.9761,1.0,0.1,28
Our MiniLM,e-learning platforms,500,0.9893,1.0,0.5,303
Our MiniLM,e-learning platforms,1000,0.9606,0.955,0.955,955
Our MiniLM,online marketing agencies,10,0.7978,0.8,0.008,0
Our MiniLM,online marketing agencies,50,0.6835,0.68,0.034,1
Our MiniLM,online marketing agencies,100,0.6053,0.58,0.058,11
Our MiniLM,online marketing agencies,500,0.5619,0.55,0.275,163
Our MiniLM,online marketing agencies,1000,0.4846,0.462,0.462,462
Our MiniLM,lead generation companies,10,0.952,1.0,0.01,1
Our MiniLM,lead generation companies,50,0.96,1.0,0.05,6
Our MiniLM,lead generation companies,100,0.9639,1.0,0.1,20
Our MiniLM,lead generation companies,500,0.9786,0.992,0.496,298
Our MiniLM,lead generation companies,1000,0.9239,0.913,0.913,913
Our MiniLM,market research firms,10,0.9478,1.0,0.01,0
Our MiniLM,market research firms,50,0.9637,1.0,0.05,4
Our MiniLM,market research firms,100,0.9715,1.0,0.1,14
Our MiniLM,market research firms,500,0.9825,0.994,0.497,252
Our MiniLM,market research firms,1000,0.8812,0.862,0.862,862
Our MiniLM,public relations agencies,10,0.9415,1.0,0.01,0
Our MiniLM,public relations agencies,50,0.9637,1.0,0.05,12
Our MiniLM,public relations agencies,100,0.9674,1.0,0.1,18
Our MiniLM,public relations agencies,500,0.9864,1.0,0.5,276
Our MiniLM,public relations agencies,1000,0.9213,0.909,0.909,909
Our MiniLM,graphic design studios,10,0.9756,1.0,0.01,0
Our MiniLM,graphic design studios,50,0.9808,1.0,0.05,2
Our MiniLM,graphic design studios,100,0.976,0.99,0.099,12
Our MiniLM,graphic design studios,500,0.9541,0.956,0.478,247
Our MiniLM,graphic design studios,1000,0.8603,0.84,0.84,840
Our MiniLM,video production companies,10,0.9628,1.0,0.01,0
Our MiniLM,video production companies,50,0.9745,1.0,0.05,3
Our MiniLM,video production companies,100,0.9783,1.0,0.1,14
Our MiniLM,video production companies,500,0.9912,1.0,0.5,277
Our MiniLM,video production companies,1000,0.9851,0.985,0.985,985
Our MiniLM,translation services,10,0.9607,1.0,0.01,0
Our MiniLM,translation services,50,0.9698,1.0,0.05,2
Our MiniLM,translation services,100,0.9743,1.0,0.1,9
Our MiniLM,translation services,500,0.9859,0.996,0.498,269
Our MiniLM,translation services,1000,0.9926,0.995,0.995,995
Our MiniLM,legal technology companies,10,0.9463,1.0,0.01,0
Our MiniLM,legal technology companies,50,0.9627,1.0,0.05,2
Our MiniLM,legal technology companies,100,0.9558,0.98,0.098,10
Our MiniLM,legal technology companies,500,0.9811,0.992,0.496,283
Our MiniLM,legal technology companies,1000,0.9535,0.949,0.949,949
Our MiniLM,accounting software providers,10,0.9585,1.0,0.01,0
Our MiniLM,accounting software providers,50,0.9637,1.0,0.05,8
Our MiniLM,accounting software providers,100,0.9677,1.0,0.1,12
Our MiniLM,accounting software providers,500,0.9415,0.948,0.474,271
Our MiniLM,accounting software providers,1000,0.8476,0.827,0.827,827
Our MiniLM,tax preparation services,10,0.9672,1.0,0.01,0
Our MiniLM,tax preparation services,50,0.9703,1.0,0.05,6
Our MiniLM,tax preparation services,100,0.9743,1.0,0.1,15
Our MiniLM,tax preparation services,500,0.9879,0.998,0.499,273
Our MiniLM,tax preparation services,1000,0.9593,0.954,0.954,954
Our MiniLM,payroll processing companies,10,0.971,1.0,0.01,0
Our MiniLM,payroll processing companies,50,0.9769,1.0,0.05,16
Our MiniLM,payroll processing companies,100,0.9789,1.0,0.1,35
Our MiniLM,payroll processing companies,500,0.9828,0.992,0.496,299
Our MiniLM,payroll processing companies,1000,0.9311,0.92,0.92,920
Our MiniLM,financial planning services,10,0.9686,1.0,0.01,0
Our MiniLM,financial planning services,50,0.963,0.98,0.049,3
Our MiniLM,financial planning services,100,0.95,0.96,0.096,12
Our MiniLM,financial planning services,500,0.8963,0.89,0.445,224
Our MiniLM,financial planning services,1000,0.778,0.75,0.75,750
Our MiniLM,investment management firms,10,0.9565,1.0,0.01,0
Our MiniLM,investment management firms,50,0.9342,0.96,0.048,3
Our MiniLM,investment management firms,100,0.8999,0.91,0.091,18
Our MiniLM,investment management firms,500,0.7252,0.696,0.348,189
Our MiniLM,investment management firms,1000,0.6112,0.572,0.572,572
Our MiniLM,wealth management firms,10,0.8749,0.9,0.009,0
Our MiniLM,wealth management firms,50,0.9269,0.96,0.048,3
Our MiniLM,wealth management firms,100,0.8908,0.9,0.09,7
Our MiniLM,wealth management firms,500,0.8488,0.846,0.423,204
Our MiniLM,wealth management firms,1000,0.7543,0.732,0.732,732
Our MiniLM,commercial real estate brokers,10,0.9572,1.0,0.01,0
Our MiniLM,commercial real estate brokers,50,0.8902,0.9,0.045,3
Our MiniLM,commercial real estate brokers,100,0.8275,0.82,0.082,17
Our MiniLM,commercial real estate brokers,500,0.6805,0.66,0.33,210
Our MiniLM,commercial real estate brokers,1000,0.5833,0.55,0.55,550
Our MiniLM,residential real estate brokers,10,0.9656,1.0,0.01,0
Our MiniLM,residential real estate brokers,50,0.956,0.98,0.049,1
Our MiniLM,residential real estate brokers,100,0.9353,0.95,0.095,7
Our MiniLM,residential real estate brokers,500,0.8637,0.856,0.428,244
Our MiniLM,residential real estate brokers,1000,0.7392,0.709,0.709,709
Our MiniLM,construction equipment manufacturers,10,0.969,1.0,0.01,1
Our MiniLM,construction equipment manufacturers,50,0.9596,0.98,0.049,4
Our MiniLM,construction equipment manufacturers,100,0.9227,0.93,0.093,26
Our MiniLM,construction equipment manufacturers,500,0.7075,0.674,0.337,200
Our MiniLM,construction equipment manufacturers,1000,0.5762,0.532,0.532,532
Our MiniLM,building materials suppliers,10,0.9571,1.0,0.01,1
Our MiniLM,building materials suppliers,50,0.9684,1.0,0.05,5
Our MiniLM,building materials suppliers,100,0.9731,1.0,0.1,16
Our MiniLM,building materials suppliers,500,0.9537,0.958,0.479,246
Our MiniLM,building materials suppliers,1000,0.8335,0.808,0.808,808
Our MiniLM,renewable energy project developers,10,0.8756,0.9,0.009,0
Our MiniLM,renewable energy project developers,50,0.9214,0.96,0.048,4
Our MiniLM,renewable energy project developers,100,0.9134,0.94,0.094,12
Our MiniLM,renewable energy project developers,500,0.8318,0.824,0.412,236
Our MiniLM,renewable energy project developers,1000,0.7392,0.713,0.713,713
Our MiniLM,sustainable agriculture companies,10,0.8374,0.9,0.009,0
Our MiniLM,sustainable agriculture companies,50,0.8235,0.84,0.042,8
Our MiniLM,sustainable agriculture companies,100,0.8306,0.85,0.085,18
Our MiniLM,sustainable agriculture companies,500,0.7145,0.698,0.349,199
Our MiniLM,sustainable agriculture companies,1000,0.6241,0.596,0.596,596
Our MiniLM,vertical farming companies,10,0.9468,1.0,0.01,0
Our MiniLM,vertical farming companies,50,0.9467,0.98,0.049,13
Our MiniLM,vertical farming companies,100,0.896,0.9,0.09,35
Our MiniLM,vertical farming companies,500,0.5572,0.496,0.248,192
Our MiniLM,vertical farming companies,1000,0.4409,0.385,0.385,385
Our MiniLM,precision agriculture technology providers,10,0.9556,1.0,0.01,1
Our MiniLM,precision agriculture technology providers,50,0.958,1.0,0.05,9
Our MiniLM,precision agriculture technology providers,100,0.9639,1.0,0.1,30
Our MiniLM,precision agriculture technology providers,500,0.9436,0.95,0.475,331
Our MiniLM,precision agriculture technology providers,1000,0.8012,0.767,0.767,767
Our MiniLM,alternative protein manufacturers,10,0.9295,1.0,0.01,0
Our MiniLM,alternative protein manufacturers,50,0.9273,0.96,0.048,11
Our MiniLM,alternative protein manufacturers,100,0.9338,0.96,0.096,27
Our MiniLM,alternative protein manufacturers,500,0.8615,0.854,0.427,251
Our MiniLM,alternative protein manufacturers,1000,0.7151,0.68,0.68,680
