method,query,k,ndcg,precision,recall,overlap
Istari BM25,customer relationship management (CRM) software,10,0.0653,0.1,0.001,0
Istari BM25,customer relationship management (CRM) software,50,0.1224,0.16,0.008,2
Istari BM25,customer relationship management (CRM) software,100,0.1582,0.19,0.019,3
Istari BM25,customer relationship management (CRM) software,500,0.2101,0.226,0.113,75
Istari BM25,customer relationship management (CRM) software,1000,0.2188,0.226,0.226,113
Istari BM25,enterprise resource planning (ERP) systems,10,0.0,0.0,0.0,0
Istari BM25,enterprise resource planning (ERP) systems,50,0.0494,0.06,0.003,0
Istari BM25,enterprise resource planning (ERP) systems,100,0.0676,0.08,0.008,2
Istari BM25,enterprise resource planning (ERP) systems,500,0.0614,0.062,0.031,18
Istari BM25,enterprise resource planning (ERP) systems,1000,0.0622,0.062,0.062,31
Istari BM25,business intelligence (BI) companies,10,0.0643,0.1,0.001,0
Istari BM25,business intelligence (BI) companies,50,0.1669,0.22,0.011,3
Istari BM25,business intelligence (BI) companies,100,0.1705,0.2,0.02,5
Istari BM25,business intelligence (BI) companies,500,0.0974,0.092,0.046,32
Istari BM25,business intelligence (BI) companies,1000,0.0967,0.092,0.092,46
Istari BM25,IT consulting firms,10,0.0,0.0,0.0,0
Istari BM25,IT consulting firms,50,0.0,0.0,0.0,0
Istari BM25,IT consulting firms,100,0.0,0.0,0.0,0
Istari BM25,IT consulting firms,500,0.0016,0.002,0.001,1
Istari BM25,IT consulting firms,1000,0.0018,0.002,0.002,1
Istari BM25,cybersecurity solutions providers,10,0.0,0.0,0.0,0
Istari BM25,cybersecurity solutions providers,50,0.0,0.0,0.0,0
Istari BM25,cybersecurity solutions providers,100,0.0157,0.02,0.002,0
Istari BM25,cybersecurity solutions providers,500,0.0219,0.024,0.012,5
Istari BM25,cybersecurity solutions providers,1000,0.0229,0.024,0.024,12
Istari BM25,cloud security providers,10,0.0,0.0,0.0,0
Istari BM25,cloud security providers,50,0.0,0.0,0.0,0
Istari BM25,cloud security providers,100,0.0,0.0,0.0,0
Istari BM25,cloud security providers,500,0.0085,0.01,0.005,4
Istari BM25,cloud security providers,1000,0.0091,0.01,0.01,5
Istari BM25,managed service providers (MSPs),10,0.0592,0.1,0.001,0
Istari BM25,managed service providers (MSPs),50,0.1271,0.16,0.008,2
Istari BM25,managed service providers (MSPs),100,0.2182,0.27,0.027,3
Istari BM25,managed service providers (MSPs),500,0.2219,0.23,0.115,73
Istari BM25,managed service providers (MSPs),1000,0.2283,0.23,0.23,115
Istari BM25,remote monitoring and management (RMM) software,10,0.7738,0.8,0.008,2
Istari BM25,remote monitoring and management (RMM) software,50,0.5902,0.56,0.028,13
Istari BM25,remote monitoring and management (RMM) software,100,0.499,0.45,0.045,29
Istari BM25,remote monitoring and management (RMM) software,500,0.2477,0.194,0.097,81
Istari BM25,remote monitoring and management (RMM) software,1000,0.2317,0.194,0.194,97
Istari BM25,data center providers,10,0.0628,0.1,0.001,0
Istari BM25,data center providers,50,0.1391,0.18,0.009,0
Istari BM25,data center providers,100,0.1391,0.16,0.016,0
Istari BM25,data center providers,500,0.1083,0.108,0.054,31
Istari BM25,data center providers,1000,0.1092,0.108,0.108,54
Istari BM25,web hosting companies,10,0.5207,0.7,0.007,0
Istari BM25,web hosting companies,50,0.4349,0.44,0.022,0
Istari BM25,web hosting companies,100,0.2915,0.25,0.025,0
Istari BM25,web hosting companies,500,0.1757,0.144,0.072,23
Istari BM25,web hosting companies,1000,0.1637,0.144,0.144,72
Istari BM25,domain name registrars,10,0.485,0.5,0.005,0
Istari BM25,domain name registrars,50,0.5127,0.54,0.027,0
Istari BM25,domain name registrars,100,0.4157,0.4,0.04,5
Istari BM25,domain name registrars,500,0.1891,0.152,0.076,53
Istari BM25,domain name registrars,1000,0.1759,0.152,0.152,76
Istari BM25,content management systems (CMS),10,0.2906,0.4,0.004,0
Istari BM25,content management systems (CMS),50,0.1961,0.2,0.01,2
Istari BM25,content management systems (CMS),100,0.1802,0.18,0.018,6
