query_id,k,precision,recall,f1,ndcg
75,10,1.0,0.01,0.019801980198019802,1.0
75,50,1.0,0.05,0.09523809523809523,1.0
75,100,1.0,0.1,0.18181818181818182,1.0
75,300,1.0,0.3,0.4615384615384615,1.0
75,500,1.0,0.5,0.6666666666666666,1.0
75,1000,0.88,0.88,0.88,0.9001066773412615
76,10,1.0,0.01,0.019801980198019802,1.0
76,50,1.0,0.05,0.09523809523809523,1.0
76,100,1.0,0.1,0.18181818181818182,1.0
76,300,0.98,0.294,0.4523076923076923,0.9838165178462962
76,500,0.988,0.494,0.6586666666666667,0.9891327983874026
76,1000,0.989,0.989,0.989,0.9896904286272212
77,10,1.0,0.01,0.019801980198019802,1.0
77,50,1.0,0.05,0.09523809523809523,1.0
77,100,1.0,0.1,0.18181818181818182,1.0
77,300,1.0,0.3,0.4615384615384615,1.0
77,500,1.0,0.5,0.6666666666666666,1.0
77,1000,0.965,0.965,0.965,0.9713311266606185
78,10,1.0,0.01,0.019801980198019802,1.0
78,50,1.0,0.05,0.09523809523809523,1.0
78,100,1.0,0.1,0.18181818181818182,1.0
78,300,0.9966666666666667,0.299,0.45999999999999996,0.9973265426145739
78,500,0.998,0.499,0.6653333333333333,0.9982047744648413
78,1000,0.984,0.984,0.984,0.986614215189955
79,10,0.8,0.008,0.015841584158415842,0.8364586133797037
79,50,0.9,0.045,0.08571428571428572,0.8827844054836919
79,100,0.87,0.087,0.15818181818181817,0.8667629872948546
79,300,0.8333333333333334,0.25,0.3846153846153846,0.8375486523432787
79,500,0.752,0.376,0.5013333333333333,0.7693213075004226
79,1000,0.61,0.61,0.61,0.6414744958621841
80,10,1.0,0.01,0.019801980198019802,1.0
80,50,1.0,0.05,0.09523809523809523,1.0
80,100,1.0,0.1,0.18181818181818182,1.0
80,300,1.0,0.3,0.4615384615384615,1.0
80,500,0.996,0.498,0.664,0.9967577844787607
80,1000,0.932,0.932,0.932,0.943101435040533
81,10,1.0,0.01,0.019801980198019802,1.0
81,50,1.0,0.05,0.09523809523809523,1.0
81,100,1.0,0.1,0.18181818181818182,1.0
81,300,0.9966666666666667,0.299,0.45999999999999996,0.9972829611176207
81,500,0.996,0.498,0.664,0.9965288922723049
81,1000,0.963,0.963,0.963,0.9690080788496074
82,10,1.0,0.01,0.019801980198019802,1.0
82,50,1.0,0.05,0.09523809523809523,1.0
82,100,1.0,0.1,0.18181818181818182,1.0
82,300,1.0,0.3,0.4615384615384615,1.0
82,500,1.0,0.5,0.6666666666666666,1.0
82,1000,0.969,0.969,0.969,0.9744454551943331
83,10,1.0,0.01,0.019801980198019802,1.0
83,50,1.0,0.05,0.09523809523809523,1.0
83,100,1.0,0.1,0.18181818181818182,1.0
83,300,1.0,0.3,0.4615384615384615,1.0
83,500,1.0,0.5,0.6666666666666666,1.0
83,1000,0.93,0.93,0.93,0.9416251209719114
84,10,1.0,0.01,0.019801980198019802,1.0
84,50,1.0,0.05,0.09523809523809523,1.0
